id,band,year,site,country,elevation,species,sp,clade,color,sex,mass,wing.area,AR,wingload.gcm,total_vel,hor_acel,hor_decel,pitch_up,pitch_down,yaw,arc_radius,arc_avg_vel,arc_force,PRT_degrees,PRT_time,pPRT,ss.V,ss.HA,ss.HD,ss.PU,ss.PD,ss.Y,ss.ARC,ss.PRT
GLAHI007,A33219,2010,Cicra,Peru,280,Glaucis.hirsuta,GLAHI,HERMIT,#FF0000,U,7.05,2515.5965,6.764,0.280251622,1.102624709,2.624099446,-3.025259174,1.020816739,-0.976658955,1.644070098,NA,NA,NA,33.75813434,0.507857143,1,21,20,17,19,18,14,0,7
GLAHI008,A33240,2010,Cicra,Peru,280,Glaucis.hirsuta,GLAHI,HERMIT,#FF0000,U,6.36,2138.7245,7.254,0.297373505,1.91074139,5.319419553,-5.012271905,1.199628432,-1.097485034,1.647386559,0.311259945,1.250827959,6.410503908,110.4451273,0.36,0.366666667,296,237,213,49,77,46,76,44
HELAU001,NA,2010,Cicra,Peru,280,Heliodoxa.aurescens,HELAU,BRILLIANT,#8A2323,M,6.27,2272.751,8.054,0.27587712,2.973793611,9.05497987,-8.321554263,1.341471935,-1.183409733,1.992007277,0.258218235,1.288192051,8.514720251,150.2997336,0.372204301,0.853211009,308,240,256,33,52,26,16,93
HELAU002,NA,2010,Cicra,Peru,280,Heliodoxa.aurescens,HELAU,BRILLIANT,#8A2323,M,6.34,2360.9115,8.1615,0.26854035,1.539853225,3.469378122,-4.605660423,1.187466872,-0.996234319,1.834224173,0.497662483,1.143187213,2.626206026,33.88612696,0.410625,0.8,33,26,25,24,31,27,2,8
LESVI001,A33403,2013,Guaytara,Ecuador,3523,Lesbia.victoriae,LESVI,COQUETTE,#483D8A,M,5.94,2186.83,6.906,0.271626052,1.564739562,2.570509321,-3.237031339,0.982276367,-0.893641211,1.461956518,0.415714438,1.128719863,3.440504349,102.537944,0.43737395,0.753943218,661,592,615,20,107,22,78,239
LESVI002,A33410,2013,Guaytara,Ecuador,3523,Lesbia.victoriae,LESVI,COQUETTE,#483D8A,M,6.02,2688.9125,6.9945,0.223882332,1.226048706,3.04211764,-3.170589503,1.114562816,-0.950459423,1.817632319,0.295281764,0.913159114,2.837035177,130.5228742,0.576269841,0.979381443,618,286,492,102,348,91,4,190
LESVI003,Y76041,2013,Guaytara,Ecuador,3523,Lesbia.victoriae,LESVI,COQUETTE,#483D8A,M,5.53,2439.572,7.3385,0.226679106,1.31606425,2.332802189,-2.369474592,0.986547997,-0.937097643,1.843726569,0.366414856,1.013564925,3.184942448,82.59354759,0.45905,0.716845878,663,519,607,40,105,68,79,200
LESVI004,NA,2013,Guaytara,Ecuador,3523,Lesbia.victoriae,LESVI,COQUETTE,#483D8A,M,NA,NA,NA,NA,1.434411589,2.7237979,-3.04534781,1.043631503,-1.036148892,1.76319125,0.399835233,1.072541937,3.178267915,62.34524375,0.426012658,0.774509804,627,422,544,50,84,89,46,158
LESVI005,Y76043,2013,Guaytara,Ecuador,3523,Lesbia.victoriae,LESVI,COQUETTE,#483D8A,M,5.26,2492.6835,7.349,0.211017564,1.711575455,3.94769467,-4.409034521,1.194920732,-1.053255643,1.753763278,0.32762024,1.128338951,4.922030947,80.2393031,0.4518125,0.661157025,380,144,157,59,129,64,41,80
LESVI006,Y76042,2013,Guaytara,Ecuador,3523,Lesbia.victoriae,LESVI,COQUETTE,#483D8A,M,5.45,2383.4775,7.3885,0.228657497,1.371672243,3.760628984,-4.3248359,1.05470254,-0.893886732,1.54785636,0.386367572,1.078753122,3.315525389,71.03283824,0.520387597,0.832258065,467,299,293,95,230,178,26,129
LESVI007,Y76048,2013,Guaytara,Ecuador,3523,Lesbia.victoriae,LESVI,COQUETTE,#483D8A,M,5.26,2239.825,7.3365,0.234839775,1.757157494,4.446349994,-4.975966117,1.310365007,-1.224930835,1.779124566,0.491881056,1.390865094,4.752368108,89.44533555,0.486605505,0.784172662,517,162,225,95,258,69,30,109
LESVI008,Y76049,2013,Guaytara,Ecuador,3523,Lesbia.victoriae,LESVI,COQUETTE,#483D8A,M,5.31,2221.162,7.241,0.239064057,1.518994026,3.589292715,-4.210240417,1.116720678,-1.084267099,1.717426474,0.225733291,0.95131154,5.106246174,129.5161652,0.463538462,0.596330275,484,117,181,38,83,81,44,65
LESVI009,Y76053,2013,Guaytara,Ecuador,3523,Lesbia.victoriae,LESVI,COQUETTE,#483D8A,M,5.4,2095.233,6.581,0.257727899,2.077855114,4.398338031,-5.284056468,1.155804579,-1.115911468,1.960091691,0.721425233,1.692451577,4.923524729,119.9707635,0.493859649,0.751633987,978,365,443,79,189,129,38,115
LESVI010,Y76054,2013,Guaytara,Ecuador,3523,Lesbia.victoriae,LESVI,COQUETTE,#483D8A,M,5.25,2014.0305,6.8845,0.260671325,1.696479132,3.737627762,-3.862882759,1.013530281,-1.041592952,1.919333299,0.35887432,1.141733111,4.253405815,131.1709781,0.360576923,0.590909091,140,51,60,17,52,29,18,26
LESVI011,USER46,2013,Guaytara,Ecuador,3523,Lesbia.victoriae,LESVI,COQUETTE,#483D8A,M,5.15,2273.272,7.5195,0.226545702,2.155533668,5.822523105,-6.694130315,1.161191056,-1.172812414,2.032010425,0.655003645,1.720630287,5.658702479,91.96060019,0.36125,0.666666667,236,88,113,19,37,22,16,32
LESVI012,USER47,2013,Guaytara,Ecuador,3523,Lesbia.victoriae,LESVI,COQUETTE,#483D8A,M,5.27,2274.7235,7.0085,0.231676509,1.281323724,3.295590595,-3.749934295,1.064408671,-0.885892821,1.693115615,0.29117486,0.940401534,3.343201208,97.07190506,0.55122807,0.826086957,287,180,158,116,259,121,12,57
