id,genus,species,COLL,Site,elev,Sex,mass,wing.length,wing.area,AR,lifted.beads,maneuv.id
Metallura.tyrianthina_A32590,Metallura,Metallura.tyrianthina,DLA,Canchayoc,3649.999996,Male,3.849999907,5.515000155,18.98805889,6.407232433,6.599999914,NA
Metallura.tyrianthina_A32591,Metallura,Metallura.tyrianthina,DLA,Canchayoc,3649.999996,Female,3.730000019,5.334999843,17.81736033,6.389773311,7.039999949,NA
Metallura.tyrianthina_A32599,Metallura,Metallura.tyrianthina,DLA,Canchayoc,3649.999996,Male,4.139999865,6.124000169,20.14592014,7.446347009,8.800000184,NA
Metallura.tyrianthina_A32609,Metallura,Metallura.tyrianthina,DLA,Canchayoc,3650,Female,3.72,5.21,17.66109,6.148,6.6,NA
Metallura.tyrianthina_A32615,Metallura,Metallura.tyrianthina,DLA,Canchayoc,3650,Female,3.81,5.733,17.92664,7.334,4.4,NA
Metallura.tyrianthina_A32618,Metallura,Metallura.tyrianthina,DLA,Canchayoc,3649.999996,Female,4.550000192,5.961000057,21.62075164,6.573966036,4.40000009,NA
Metallura.tyrianthina_A32626,Metallura,Metallura.tyrianthina,DLA,Canchayoc,3650,Male,3.65,5.324,14.98881,7.564,5.28,NA
Metallura.tyrianthina_A32878,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Male,3.609999893,5.925999834,21.38175126,6.569616039,6.23000003,NA
Metallura.tyrianthina_A32879,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Male,3.630000117,6.095999911,21.58727038,6.885764463,8.98999977,NA
Metallura.tyrianthina_A32880,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Female,3.81999993,5.500999836,18.65636105,6.488081804,5.769999977,NA
Metallura.tyrianthina_A32881,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Female,3.309999941,5.361999893,17.81986288,6.45370686,6.230000022,NA
Metallura.tyrianthina_A32887,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Female,3.750000002,5.470000071,18.8820869,6.338473282,6.440000068,NA
Metallura.tyrianthina_A32888,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Female,3.35,5.24,19.29769,5.691,5.12,NA
Metallura.tyrianthina_A32890,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Female,3.769999981,5.815000146,20.86654821,6.481997199,4.921999926,NA
Metallura.tyrianthina_A32892,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Male,3.119999885,6.386999895,22.37709383,7.292058196,3.460000045,NA
Metallura.tyrianthina_A32893,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Male,3.730000019,5.625000003,19.93537975,6.348637528,4.920000072,NA
Metallura.tyrianthina_A32895,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Male,4.230000016,6.733999627,24.16334457,7.506701055,3.460000041,NA
Metallura.tyrianthina_A32896,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Male,3.619999887,5.984000016,21.06785458,6.798652616,5.506000041,NA
Metallura.tyrianthina_A32901,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Male,4.3,5.543,18.36146,6.693,4.92,NA
Metallura.tyrianthina_A32909,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Male,3.95,5.104,18.30078,5.694,4.05,NA
Metallura.tyrianthina_A32910,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Male,4.05,5.08,18.80191,5.49,2.88,NA
Metallura.tyrianthina_A32916,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Female,3.650000097,5.183000181,17.56789136,6.116497506,5.506000051,NA
Metallura.tyrianthina_A32921,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Female,4.110000134,6.277999879,22.69572502,6.946379974,8.639499653,NA
Metallura.tyrianthina_E00031,Metallura,Metallura.tyrianthina,DLA,Pillahuata,2650,Male,3.529999972,5.979000091,19.19643015,7.448977097,8.449999805,NA
