birdID,treatmentID,bird.treatment.block,walls.stripe.size,left.grating.orientation,H.grating.period,V.grating.period,replicate,to.from.feeder,avg.y.position,avg.x.velocity,top.black.red
196,0_9.2_1_1.15_0_0,196_0_9.2_1_1.15_0_0,H 9.2 cm V 1.15 cm,hor,18.4,2.3,2,from,0.079889247,1.87581691,red
196,0_9.2_1_1.15_0_0,196_0_9.2_1_1.15_0_0,H 9.2 cm V 1.15 cm,hor,18.4,2.3,4,to,0.037258784,1.480964789,red
196,0_9.2_1_1.15_0_0,196_0_9.2_1_1.15_0_0,H 9.2 cm V 1.15 cm,hor,18.4,2.3,1,to,-0.090402353,1.237583444,red
196,0_9.2_1_1.15_0_0,196_0_9.2_1_1.15_0_0,H 9.2 cm V 1.15 cm,hor,18.4,2.3,3,from,0.097771629,2.119563203,red
196,0_9.2_1_1.15_0_0,196_0_9.2_1_1.15_0_0,H 9.2 cm V 1.15 cm,hor,18.4,2.3,3,to,-0.046031908,1.625375999,red
196,0_9.2_1_1.15_0_0,196_0_9.2_1_1.15_0_0,H 9.2 cm V 1.15 cm,hor,18.4,2.3,5,from,0.02808377,1.760618613,red
196,0_9.2_1_1.15_0_0,196_0_9.2_1_1.15_0_0,H 9.2 cm V 1.15 cm,hor,18.4,2.3,2,to,-0.037011964,1.690300142,red
196,0_9.2_1_1.15_0_0,196_0_9.2_1_1.15_0_0,H 9.2 cm V 1.15 cm,hor,18.4,2.3,1,from,0.0178201,2.127262464,red
196,0_9.2_1_9.2_0_0,196_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,5,to,-0.015758786,2.064211452,red
196,0_9.2_1_9.2_0_0,196_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,5,from,0.062793481,2.018724178,red
196,0_9.2_1_9.2_0_0,196_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,4,from,0.041874316,1.737161531,red
196,0_9.2_1_9.2_0_0,196_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,2,from,0.018105361,1.814750178,red
196,0_9.2_1_9.2_0_0,196_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,4,to,0.038760326,2.217415255,red
196,0_9.2_1_9.2_0_0,196_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,3,to,0.009654948,2.054592029,red
196,0_9.2_1_9.2_0_0,196_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,2,to,0.038808213,2.018779697,red
196,0_9.2_1_9.2_0_0,196_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,1,to,-0.02503057,1.985647203,red
196,0_9.2_1_9.2_0_0,196_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,1,from,0.024952536,1.41521575,red
196,0_9.2_1_9.2_0_0,196_0_9.2_1_9.2_0_0,H 9.2 cm V 9.2 cm,hor,18.4,18.4,3,from,0.045895369,1.86742754,red
196,1_1.15_0_1.15_0_0,196_1_1.15_0_1.15_0_0,H 1.15 cm V 1.15 cm,ver,2.3,2.3,3,to,0.058163056,1.86312469,NA
