bird,trialID,videoID,performance.metric,solo.competition,treatment,no.maneuvers,avg.performance,wing.length,wing.area,aspect.ratio,body.mass,mass.lifted,trial.day.of.year,capture.day.of.year,days.after
gas_13,gas_13_solo_nit,102148,pitch_up,solo,nit,459,0.963549745,52.549,1518.295,7.278,4.23,6.44,106,79,27
gas_14,gas_14_comp_air,152808,pitch_up,comp,air,112,1.062547738,53.641,1524.945,7.557,4.75,5.27,103,79,24
gas_14,gas_14_comp_hel,154017,pitch_up,comp,hel,53,0.961027202,53.641,1524.945,7.557,4.75,5.27,110,79,31
gas_14,gas_14_comp_nit,114839,pitch_up,comp,nit,113,1.030442251,53.641,1524.945,7.557,4.75,5.27,111,79,32
gas_14,gas_14_solo_air,131718,pitch_up,solo,air,160,1.071322951,53.641,1524.945,7.557,4.75,5.27,103,79,24
gas_14,gas_14_solo_hel,105012,pitch_up,solo,hel,16,0.839944265,53.641,1524.945,7.557,4.75,5.27,110,79,31
gas_14,gas_14_solo_nit,94017,pitch_up,solo,nit,141,1.039563369,53.641,1524.945,7.557,4.75,5.27,111,79,32
gas_15,gas_15_comp_air,151007,pitch_up,comp,air,136,1.180880003,52.132,1483.544,7.345,4.44,6.44,108,83,25
gas_15,gas_15_comp_hel,154017,pitch_up,comp,hel,102,1.125026627,52.132,1483.544,7.345,4.44,6.44,110,83,27
gas_15,gas_15_comp_nit,162119,pitch_up,comp,nit,145,1.12866037,52.132,1483.544,7.345,4.44,6.44,106,83,23
gas_15,gas_15_solo_air,105650,pitch_up,solo,air,288,1.120363688,52.132,1483.544,7.345,4.44,6.44,108,83,25
gas_15,gas_15_solo_hel,132922,pitch_up,solo,hel,169,1.139078831,52.132,1483.544,7.345,4.44,6.44,110,83,27
gas_15,gas_15_solo_nit,140658,pitch_up,solo,nit,279,1.108426723,52.132,1483.544,7.345,4.44,6.44,106,83,23
gas_16,gas_16_comp_air,151007,pitch_up,comp,air,275,1.164419747,53.521,1559.219,7.366,4.69,6.44,108,84,24
gas_16,gas_16_comp_hel,171657,pitch_up,comp,hel,239,1.047195698,53.521,1559.219,7.366,4.69,6.44,107,84,23
gas_16,gas_16_comp_nit,114839,pitch_up,comp,nit,70,1.010636366,53.521,1559.219,7.366,4.69,6.44,111,84,27
gas_16,gas_16_solo_air,130557,pitch_up,solo,air,309,1.127764098,53.521,1559.219,7.366,4.69,6.44,108,84,24
gas_16,gas_16_solo_hel,150949,pitch_up,solo,hel,212,0.864043954,53.521,1559.219,7.366,4.69,6.44,107,84,23
gas_16,gas_16_solo_nit,140234,pitch_up,solo,nit,101,1.008006205,53.521,1559.219,7.366,4.69,6.44,111,84,27
gas_09,gas_09_comp_air,163920,pitch_down,comp,air,383,0.945165005,51.623,1495.753,7.127,4.5,7.22,51,24,27
gas_09,gas_09_comp_hel,111200,pitch_down,comp,hel,173,0.85941593,51.623,1495.753,7.127,4.5,7.22,59,24,35
gas_09,gas_09_comp_nit,165423,pitch_down,comp,nit,190,0.912764132,51.623,1495.753,7.127,4.5,7.22,54,24,30
gas_09,gas_09_solo_air,143321,pitch_down,solo,air,394,0.895582347,51.623,1495.753,7.127,4.5,7.22,51,24,27
gas_09,gas_09_solo_hel,101810,pitch_down,solo,hel,69,0.796311634,51.623,1495.753,7.127,4.5,7.22,55,24,31
gas_09,gas_09_solo_nit,120052,pitch_down,solo,nit,211,0.914783918,51.623,1495.753,7.127,4.5,7.22,52,24,28
gas_10,gas_10_comp_air,163920,pitch_down,comp,air,85,0.784973231,52.871,1428.777,7.833,4.37,4.88,51,-20,71
gas_10,gas_10_comp_hel,122813,pitch_down,comp,hel,40,0.830500892,52.871,1428.777,7.833,4.37,4.88,56,-20,76
gas_10,gas_10_comp_nit,125257,pitch_down,comp,nit,40,0.764570968,52.871,1428.777,7.833,4.37,4.88,60,-20,80
gas_10,gas_10_solo_air,150149,pitch_down,solo,air,121,0.771095376,52.871,1428.777,7.833,4.37,4.88,56,-20,76
gas_10,gas_10_solo_hel,175929,pitch_down,solo,hel,222,0.848086528,52.871,1428.777,7.833,4.37,4.88,52,-20,72
gas_10,gas_10_solo_nit,95516,pitch_down,solo,nit,76,0.818602925,52.871,1428.777,7.833,4.37,4.88,57,-20,77
gas_11,gas_11_comp_air,94818,pitch_down,comp,air,246,0.927481985,55.445,1620.07,7.593,4.62,5.66,61,51,10
gas_11,gas_11_comp_hel,122813,pitch_down,comp,hel,75,0.904037576,55.445,1620.07,7.593,4.62,5.66,56,51,5
gas_11,gas_11_comp_nit,165423,pitch_down,comp,nit,97,0.782284613,55.445,1620.07,7.593,4.62,5.66,54,51,3
gas_11,gas_11_solo_air,102128,pitch_down,solo,air,213,0.897150979,55.445,1620.07,7.593,4.62,5.66,58,51,7
